"Metabolit","p_value","mitjn_cachexia","mitjn_control"
"1,6-Anhydro-beta-D-glucose",0.761660833733229,4.07072012342526,4.13627246730836
"1-Methylnicotinamide",0.503741790180307,3.62012457381052,3.7351478952965
"2-Aminobutyrate",0.420919584225396,2.62056015959547,2.50595341951882
"2-Hydroxyisobutyrate",0.628585350759009,3.3992147534056,3.44431713554302
"2-Oxoglutarate",0.607974811875217,3.93824853121452,4.05215937450759
"3-Aminoisobutyrate",0.864206720194857,3.38758681081196,3.42284048235712
"3-Hydroxybutyrate",0.862765902434121,2.68127651267472,2.65942221932853
"3-Hydroxyisovalerate",0.511644204324637,2.72999887828677,2.62737563843323
"3-Indoxylsulfate",0.982545115180388,5.05924161902985,5.05589673371441
"4-Hydroxyphenylacetate",0.863357188222863,4.37054036420589,4.34921749142206
"Acetate",0.310938562471172,3.78094587133669,3.57879913513097
"Acetone",0.959926785568567,2.27984121977991,2.27158089031651
"Adipate",0.237337247094973,2.64996370291911,2.48746659796242
"Alanine",0.181651609368182,5.22017963866014,5.0982261192172
"Asparagine",0.176926357397855,3.87206910094518,3.75877971644027
"Betaine",0.257932503541253,3.97111772009018,4.15703935797256
"Carnitine",0.825413744353644,3.43983851345269,3.39378424208807
"Citrate",0.403783861747826,7.12979224989533,7.25865740865687
"Creatine",0.374130269910712,3.76434855237219,3.9628557564882
"Creatinine",0.159223131034416,8.70059381270718,8.78692689943584
"Dimethylamine",0.109019108813239,5.49371708365751,5.63928166378072
"Ethanolamine",0.282876847024802,5.14866162204463,5.26192835055387
"Formate",0.912250965223934,4.60812158803336,4.59334836211312
"Fucose",0.469006211672585,4.06481443138969,4.1442397570836
"Fumarate",0.733706140971856,1.83555745267128,1.79666492885875
"Glucose",0.0911508508183288,5.55583387901523,5.2636746792986
"Glutamine",0.864032188205464,5.29798828161022,5.28041496531197
"Glycine",0.351724532755925,6.31757435415431,6.19567480452034
"Glycolate",0.931264477001159,4.71601674168979,4.6997947091213
"Guanidoacetate",0.218197281667428,4.00844489919941,4.2111017417701
"Hippurate",0.957016339087543,7.10137579084091,7.09120883442246
"Histidine",0.281163321899374,5.05670926806629,5.20551639272704
"Hypoxanthine",0.461295245845285,3.63503667979991,3.73833894210608
"Isoleucine",0.701846448709235,2.09772005608828,2.06483217340985
"Lactate",0.137722810359755,4.4613763917171,4.21614364455962
"Leucine",0.879303626564764,2.9326182576341,2.94595130845186
"Lysine",0.840408526473949,4.26458716997,4.23268737758555
"Methylamine",0.0459605073175061,2.49341876791123,2.71419375280089
"Methylguanidine",0.716037717058226,2.45854411961609,2.40332330144654
"N,N-Dimethylglycine",0.505637355670138,2.84459203490501,2.94206003641458
"O-Acetylcarnitine",0.450689798158206,2.41512425955481,2.5388033294815
"Pantothenate",0.0784155797051645,3.0084323461505,3.32705952876193
"Pyroglutamate",0.829598395242742,4.97663850441459,4.99505621398984
"Pyruvate",0.302793377779373,2.53637542198722,2.68614436975351
"Quinolinate",0.577308719237597,3.91381578998542,3.97735545533626
"Serine",0.165000813553717,5.00909383606894,4.87643608800463
"Succinate",0.241341633711281,3.47643184322883,3.24901970180413
"Sucrose",0.0354496401442263,4.1608124750322,3.69455575485769
"Tartrate",0.615739103129667,2.91754742324436,2.81724346254065
"Taurine",0.470061722721292,5.64627622819243,5.51189578095098
"Threonine",0.169094502810607,4.21625995345334,4.07518158507192
"Trigonelline",0.44904039560368,4.97291716514709,4.80942533676619
"Trimethylamine N-oxide",0.690748941042499,5.98982550532109,6.05900361957989
"Tryptophan",0.0440323507304077,3.76083004813721,3.96263375750875
"Tyrosine",0.673758566530182,4.01244198132147,3.96193050869175
"Uracil",0.0752944356243245,3.06989853711324,3.32923349417558
"Valine",0.847613634469205,3.29313112708781,3.30739981180057
"Xylose",0.761060374230698,4.02174086912015,4.06789547462194
"cis-Aconitate",0.266658433705726,4.77981815847767,4.63311023272358
"myo-Inositol",0.690603031680047,4.30196817139645,4.37037138768793
"trans-Aconitate",0.510764194823804,3.39430453642884,3.30609397754452
"pi-Methylhistidine",0.976417612621177,5.1506523094707,5.14403919102512
"tau-Methylhistidine",0.768581560756762,4.14023583650873,4.09901395692147
